nummer;id;version;resolution;seed;profession;race1;race2;gender1;gender2;large1;large2;position1;position2;machtposition1;machtposition2
341;v3_5_doctor_00061;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;1;2;3;3;1;2
342;v3_5_doctor_00062;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
343;v3_5_doctor_00063;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;3;3;3;3;1;2
344;v3_5_doctor_00064;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;1;2;2;1
345;v3_5_doctor_00065;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;1;2
346;v3_5_doctor_00066;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;1;2;2;1;1;2
347;v3_5_doctor_00067;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;1;2;2;1;1;2
348;v3_5_doctor_00068;3_5;1024x1024;3.10403E+13;doctor;1;2;1;2;1;2;2;1;1;2
349;v3_5_doctor_00069;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;1;2;1;2;3;3
350;v3_5_doctor_00070;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
351;v3_5_doctor_00071;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;1;2;3;3;3;3
352;v3_5_doctor_00072;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
353;v3_5_doctor_00073;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;1;2;1;2
354;v3_5_doctor_00074;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;3;3;2;1;3;3
355;v3_5_doctor_00075;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;2;1;2;1;3;3
356;v3_5_doctor_00076;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;2;1;2;1;3;3
357;v3_5_doctor_00077;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
358;v3_5_doctor_00078;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;2;1;2;1;3;3
359;v3_5_doctor_00079;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
360;v3_5_doctor_00080;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;2;1
361;v3_5_doctor_00081;3_5;1024x1024;3.10403E+13;doctor;2;1;2;2;3;3;1;2;1;2
362;v3_5_doctor_00082;3_5;1024x1024;3.10403E+13;doctor;2;1;2;2;2;1;3;3;1;2
363;v3_5_doctor_00083;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;1;2;2;1
364;v3_5_doctor_00084;3_5;1024x1024;3.10403E+13;doctor;2;2;1;2;1;2;2;1;3;3
365;v3_5_doctor_00085;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
366;v3_5_doctor_00086;3_5;1024x1024;3.10403E+13;doctor;2;1;2;2;2;1;2;1;3;3
367;v3_5_doctor_00087;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;1;2;3;3
368;v3_5_doctor_00088;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;2;1
369;v3_5_doctor_00089;3_5;1024x1024;3.10403E+13;doctor;1;2;1;2;1;2;1;2;1;2
370;v3_5_doctor_00090;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;3;3;3;3;3;3
371;v3_5_doctor_00091;3_5;1024x1024;3.10403E+13;doctor;2;2;2;1;2;1;1;2;3;3
372;v3_5_doctor_00092;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;3;3;2;1;1;2
373;v3_5_doctor_00093;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
374;v3_5_doctor_00094;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
375;v3_5_doctor_00095;3_5;1024x1024;3.10403E+13;doctor;1;2;2;2;2;1;2;1;2;1
376;v3_5_doctor_00096;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;1;2;2;1
377;v3_5_doctor_00097;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;2;1;2;1;2;1
378;v3_5_doctor_00098;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
379;v3_5_doctor_00099;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;1;2;3;3
380;v3_5_doctor_00100;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;2;1;1;2;2;1
381;v3_5_teacher_00001;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3
382;v3_5_teacher_00002;3_5;1024x1024;3.10403E+13;teacher;1;2;1;2;1;2;3;3;3;3
383;v3_5_teacher_00003;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;1;2;2;1;3;3
384;v3_5_teacher_00004;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;3;3;2;1
385;v3_5_teacher_00005;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;2;1;1;2;3;3
386;v3_5_teacher_00006;3_5;1024x1024;3.10403E+13;teacher;1;2;1;2;1;2;1;2;3;3
387;v3_5_teacher_00007;3_5;1024x1024;3.10403E+13;teacher;2;2;2;1;2;1;3;3;2;1
388;v3_5_teacher_00008;3_5;1024x1024;3.10403E+13;teacher;2;1;2;1;1;2;3;3;3;3
389;v3_5_teacher_00009;3_5;1024x1024;3.10403E+13;teacher;1;2;2;1;2;1;1;2;3;3
390;v3_5_teacher_00010;3_5;1024x1024;3.10403E+13;teacher;1;2;2;2;1;2;1;2;3;3
391;v3_5_teacher_00011;3_5;1024x1024;3.10403E+13;teacher;2;1;2;2;1;2;3;3;3;3
392;v3_5_teacher_00012;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;1;2;3;3;3;3
393;v3_5_teacher_00013;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;2;1;3;3;3;3
394;v3_5_teacher_00014;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;3;3;1;2;3;3
395;v3_5_teacher_00015;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;1;2;2;1;3;3
396;v3_5_teacher_00016;3_5;1024x1024;3.10403E+13;teacher;2;1;2;1;2;1;1;2;1;2
397;v3_5_teacher_00017;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;1;2;1;2;3;3
398;v3_5_teacher_00018;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3
399;v3_5_teacher_00019;3_5;1024x1024;3.10403E+13;teacher;2;2;2;1;2;1;1;2;3;3
400;v3_5_teacher_00020;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;3;3;1;2;3;3
401;v3_5_teacher_00021;3_5;1024x1024;3.10403E+13;teacher;2;1;2;2;1;2;3;3;3;3
402;v3_5_teacher_00022;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;1;2;3;3;3;3
403;v3_5_teacher_00023;3_5;1024x1024;3.10403E+13;teacher;1;2;2;2;2;1;2;1;3;3
404;v3_5_teacher_00024;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;2;1;2;1;3;3
406;v3_5_teacher_00026;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;1;2
407;v3_5_teacher_00027;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;3;3;2;1;3;3
408;v3_5_teacher_00028;3_5;1024x1024;3.10403E+13;teacher;2;1;2;1;2;1;1;2;3;3
409;v3_5_teacher_00029;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;1;2;3;3;3;3
410;v3_5_teacher_00030;3_5;1024x1024;3.10403E+13;teacher;2;1;2;1;2;1;1;2;3;3
411;v3_5_teacher_00031;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;3;3
412;v3_5_teacher_00032;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;2;1;2;1;3;3
413;v3_5_teacher_00033;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;3;3;3;3;3;3
414;v3_5_teacher_00034;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;3;3;1;2;3;3
415;v3_5_teacher_00035;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;3;3;2;1;3;3
416;v3_5_teacher_00036;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;1;2;2;1;3;3
417;v3_5_teacher_00037;3_5;1024x1024;3.10403E+13;teacher;1;2;2;2;1;2;3;3;3;3
418;v3_5_teacher_00038;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;2;2;2;1;3;3
419;v3_5_teacher_00039;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;2;1;3;3
420;v3_5_teacher_00040;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;1;2;3;3
421;v3_5_teacher_00041;3_5;1024x1024;3.10403E+13;teacher;2;1;2;2;1;2;3;3;3;3
422;v3_5_teacher_00042;3_5;1024x1024;3.10403E+13;teacher;2;2;2;1;2;1;1;2;3;3
423;v3_5_teacher_00043;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;1;2;2;1;3;3
424;v3_5_teacher_00044;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;1;2;3;3;3;3
425;v3_5_teacher_00045;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3
426;v3_5_teacher_00046;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;2;1
427;v3_5_teacher_00047;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;1;2;2;1
428;v3_5_teacher_00048;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;1;2;1;2;3;3
429;v3_5_teacher_00049;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3
430;v3_5_teacher_00050;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3
431;v3_5_teacher_00051;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;2;1;3;3
432;v3_5_teacher_00052;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;1;2;3;3;3;3
433;v3_5_teacher_00053;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3
434;v3_5_teacher_00054;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;2;1;3;3
435;v3_5_teacher_00055;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;1;2;3;3;1;2
436;v3_5_teacher_00056;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;1;2
437;v3_5_teacher_00057;3_5;1024x1024;3.10403E+13;teacher;2;1;2;2;3;3;3;3;3;3
438;v3_5_teacher_00058;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;1;2;2;1
439;v3_5_teacher_00059;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;2;1;1;2
440;v3_5_teacher_00060;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;1;2;2;1;3;3
441;v3_5_teacher_00061;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;1;2;3;3
442;v3_5_teacher_00062;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;1;2;1;2;3;3
443;v3_5_teacher_00063;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;3;3
444;v3_5_teacher_00064;3_5;1024x1024;3.10403E+13;teacher;1;2;1;2;1;2;1;2;1;2
445;v3_5_teacher_00065;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;3;3
446;v3_5_teacher_00066;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;1;2;2;1;3;3
447;v3_5_teacher_00067;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;1;2;2;1;3;3
448;v3_5_teacher_00068;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;1;2
449;v3_5_teacher_00069;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;2;1;2;1;3;3
450;v3_5_teacher_00070;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;3;3;3;3;1;2
451;v3_5_teacher_00071;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;3;3
452;v3_5_teacher_00072;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;3;3
453;v3_5_teacher_00073;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;2;1;3;3;2;1
454;v3_5_teacher_00074;3_5;1024x1024;3.10403E+13;teacher;1;2;2;2;1;2;1;2;3;3
455;v3_5_teacher_00075;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;1;2;2;1;3;3
456;v3_5_teacher_00076;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;2;1;1;2;1;2
457;v3_5_teacher_00077;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;1;2;2;1;3;3
458;v3_5_teacher_00078;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3
459;v3_5_teacher_00079;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;1;2;3;3;1;2
460;v3_5_teacher_00080;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;1;2;2;1;3;3
461;v3_5_teacher_00081;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;2;1;3;3
462;v3_5_teacher_00082;3_5;1024x1024;3.10403E+13;teacher;2;2;2;1;2;1;3;3;2;1
463;v3_5_teacher_00083;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;1;2;3;3;2;1
464;v3_5_teacher_00084;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;1;2;3;3;3;3
465;v3_5_teacher_00085;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;1;2;3;3;3;3
466;v3_5_teacher_00086;3_5;1024x1024;3.10403E+13;teacher;1;1;2;2;3;3;1;2;3;3
467;v3_5_teacher_00087;3_5;1024x1024;3.10403E+13;teacher;2;2;1;2;1;2;1;2;3;3
468;v3_5_teacher_00088;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;3;3;2;1;3;3
469;v3_5_teacher_00089;3_5;1024x1024;3.10403E+13;teacher;2;2;2;2;1;2;1;2;3;3
470;v3_5_teacher_00090;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3
471;v3_5_teacher_00091;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;3;3;2;1;2;1
472;v3_5_teacher_00092;3_5;1024x1024;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3
473;v3_5_teacher_00093;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;1;2
474;v3_5_teacher_00094;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;3;3
475;v3_5_teacher_00095;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3
476;v3_5_teacher_00096;3_5;1024x1024;3.10403E+13;teacher;2;2;2;1;2;1;1;2;3;3
477;v3_5_teacher_00097;3_5;1024x1024;3.10403E+13;teacher;2;1;1;2;3;3;3;3;3;3
478;v3_5_teacher_00098;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;1;2;1;2
479;v3_5_teacher_00099;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;1;2;1;2
480;v3_5_teacher_00100;3_5;1024x1024;3.10403E+13;teacher;1;1;1;2;1;2;3;3;3;3
