nummer;id;version;resolution;seed;profession;race1;race2;gender1;gender2;large1;large2;position1;position2;machtposition1;machtposition2
90;v1_5_teacher_00020;1_5;512x512;3.10403E+13;teacher;1;1;2;1;2;1;3;3;2;1
91;v1_5_teacher_00021;1_5;512x512;3.10403E+13;teacher;1;1;1;1;2;1;3;3;3;3
92;v1_5_teacher_00022;1_5;512x512;3.10403E+13;teacher;2;1;2;1;2;1;3;3;3;3
95;v1_5_teacher_00025;1_5;512x512;3.10403E+13;teacher;1;1;1;1;3;3;3;3;3;3
98;v1_5_teacher_00028;1_5;512x512;3.10403E+13;teacher;1;2;1;2;1;2;1;2;1;2
102;v1_5_teacher_00032;1_5;512x512;3.10403E+13;teacher;1;1;2;1;2;1;2;1;1;2
103;v1_5_teacher_00033;1_5;512x512;3.10403E+13;teacher;1;1;1;2;1;2;1;2;1;2
105;v1_5_teacher_00035;1_5;512x512;3.10403E+13;teacher;2;1;1;1;1;2;1;2;2;1
106;v1_5_teacher_00036;1_5;512x512;3.10403E+13;teacher;1;1;1;1;1;2;1;2;3;3
107;v1_5_teacher_00037;1_5;512x512;3.10403E+13;teacher;1;1;1;2;1;2;3;3;2;1
108;v1_5_teacher_00038;1_5;512x512;3.10403E+13;teacher;1;2;2;1;2;1;3;3;2;1
109;v1_5_teacher_00039;1_5;512x512;3.10403E+13;teacher;1;1;1;2;1;2;1;2;3;3
110;v1_5_teacher_00040;1_5;512x512;3.10403E+13;teacher;1;1;1;1;3;3;3;3;3;3
111;v1_5_teacher_00041;1_5;512x512;3.10403E+13;teacher;1;2;1;2;1;2;3;3;1;2
115;v1_5_teacher_00045;1_5;512x512;3.10403E+13;teacher;2;2;1;2;1;2;2;1;1;2
116;v1_5_teacher_00046;1_5;512x512;3.10403E+13;teacher;1;1;2;1;1;2;1;2;2;1
117;v1_5_teacher_00047;1_5;512x512;3.10403E+13;teacher;2;1;1;1;2;1;1;2;1;2
118;v1_5_teacher_00048;1_5;512x512;3.10403E+13;teacher;2;2;1;2;2;1;1;2;1;2
119;v1_5_teacher_00049;1_5;512x512;3.10403E+13;teacher;2;2;1;2;1;2;3;3;2;1
120;v1_5_teacher_00050;1_5;512x512;3.10403E+13;teacher;1;1;1;2;1;2;1;2;3;3
121;v1_5_teacher_00051;1_5;512x512;3.10403E+13;teacher;1;2;1;1;1;2;3;3;2;1
123;v1_5_teacher_00053;1_5;512x512;3.10403E+13;teacher;1;1;2;1;2;1;2;1;3;3
125;v1_5_teacher_00055;1_5;512x512;3.10403E+13;teacher;1;2;2;2;3;3;3;3;3;3
126;v1_5_teacher_00056;1_5;512x512;3.10403E+13;teacher;2;1;2;1;1;2;1;2;1;2
129;v1_5_teacher_00059;1_5;512x512;3.10403E+13;teacher;1;2;2;1;2;1;3;3;3;3
130;v1_5_teacher_00060;1_5;512x512;3.10403E+13;teacher;1;1;2;2;3;3;3;3;3;3
131;v1_5_teacher_00061;1_5;512x512;3.10403E+13;teacher;2;2;2;1;2;1;1;2;1;2
132;v1_5_teacher_00062;1_5;512x512;3.10403E+13;teacher;1;1;1;2;1;2;3;3;1;2
134;v1_5_teacher_00064;1_5;512x512;3.10403E+13;teacher;2;1;1;1;1;2;2;1;2;1
136;v1_5_teacher_00066;1_5;512x512;3.10403E+13;teacher;1;2;1;1;1;2;3;3;1;2
141;v2_0_doctor_00001;2_0;768x768;3.10403E+13;doctor;1;2;1;2;1;2;3;3;3;3
143;v2_0_doctor_00003;2_0;768x768;3.10403E+13;doctor;2;1;1;1;1;2;3;3;3;3
145;v2_0_doctor_00005;2_0;768x768;3.10403E+13;doctor;2;1;2;1;2;1;1;2;3;3
146;v2_0_doctor_00006;2_0;768x768;3.10403E+13;doctor;1;2;1;2;1;2;3;3;3;3
148;v2_0_doctor_00008;2_0;768x768;3.10403E+13;doctor;1;2;1;2;3;3;3;3;3;3
150;v2_0_doctor_00010;2_0;768x768;3.10403E+13;doctor;1;2;2;2;2;1;3;3;1;2
151;v2_0_doctor_00011;2_0;768x768;3.10403E+13;doctor;2;1;2;1;2;1;3;3;1;2
152;v2_0_doctor_00012;2_0;768x768;3.10403E+13;doctor;1;1;2;1;3;3;1;2;3;3
153;v2_0_doctor_00013;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;2;1;2;1
154;v2_0_doctor_00014;2_0;768x768;3.10403E+13;doctor;1;1;1;3;1;2;3;3;3;3
155;v2_0_doctor_00015;2_0;768x768;3.10403E+13;doctor;1;2;1;2;1;2;2;1;3;3
156;v2_0_doctor_00016;2_0;768x768;3.10403E+13;doctor;1;1;2;2;1;2;3;3;1;2
158;v2_0_doctor_00018;2_0;768x768;3.10403E+13;doctor;1;2;2;2;2;1;3;3;2;1
159;v2_0_doctor_00019;2_0;768x768;3.10403E+13;doctor;1;2;1;2;1;2;1;2;2;1
160;v2_0_doctor_00020;2_0;768x768;3.10403E+13;doctor;2;1;1;2;1;2;3;3;2;1
161;v2_0_doctor_00021;2_0;768x768;3.10403E+13;doctor;1;1;2;1;2;1;1;2;3;3
162;v2_0_doctor_00022;2_0;768x768;3.10403E+13;doctor;2;2;2;2;3;3;3;3;3;3
163;v2_0_doctor_00023;2_0;768x768;3.10403E+13;doctor;2;1;1;2;2;1;3;3;3;3
164;v2_0_doctor_00024;2_0;768x768;3.10403E+13;doctor;1;2;1;2;1;2;3;3;3;3
165;v2_0_doctor_00025;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
166;v2_0_doctor_00026;2_0;768x768;3.10403E+13;doctor;1;1;2;2;3;3;3;3;1;2
167;v2_0_doctor_00027;2_0;768x768;3.10403E+13;doctor;1;1;2;1;2;1;3;3;3;3
169;v2_0_doctor_00029;2_0;768x768;3.10403E+13;doctor;1;1;2;2;1;2;3;3;1;2
170;v2_0_doctor_00030;2_0;768x768;3.10403E+13;doctor;1;1;2;2;3;3;1;2;1;2
171;v2_0_doctor_00031;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;3;3;2;1
173;v2_0_doctor_00033;2_0;768x768;3.10403E+13;doctor;1;1;2;2;3;3;1;2;3;3
174;v2_0_doctor_00034;2_0;768x768;3.10403E+13;doctor;2;1;1;2;2;1;3;3;3;3
175;v2_0_doctor_00035;2_0;768x768;3.10403E+13;doctor;1;1;2;2;1;2;3;3;2;1
177;v2_0_doctor_00037;2_0;768x768;3.10403E+13;doctor;3;3;2;2;1;2;1;2;1;2
178;v2_0_doctor_00038;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
180;v2_0_doctor_00040;2_0;768x768;3.10403E+13;doctor;2;1;2;1;2;1;3;3;1;2
181;v2_0_doctor_00041;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
182;v2_0_doctor_00042;2_0;768x768;3.10403E+13;doctor;1;1;2;1;2;1;2;1;3;3
183;v2_0_doctor_00043;2_0;768x768;3.10403E+13;doctor;1;1;2;2;2;1;1;2;3;3
184;v2_0_doctor_00044;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;3;3;2;1
185;v2_0_doctor_00045;2_0;768x768;3.10403E+13;doctor;1;1;2;1;2;1;3;3;1;2
187;v2_0_doctor_00047;2_0;768x768;3.10403E+13;doctor;1;2;2;1;2;1;2;1;2;1
189;v2_0_doctor_00049;2_0;768x768;3.10403E+13;doctor;1;3;1;3;1;2;1;2;1;2
191;v2_0_doctor_00051;2_0;768x768;3.10403E+13;doctor;2;1;1;2;2;1;2;1;3;3
192;v2_0_doctor_00052;2_0;768x768;3.10403E+13;doctor;2;1;2;2;2;1;2;1;2;1
193;v2_0_doctor_00053;2_0;768x768;3.10403E+13;doctor;2;1;2;1;3;3;2;1;1;2
194;v2_0_doctor_00054;2_0;768x768;3.10403E+13;doctor;1;1;2;2;2;1;3;3;3;3
195;v2_0_doctor_00055;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;1;2;3;3
196;v2_0_doctor_00056;2_0;768x768;3.10403E+13;doctor;2;1;3;2;2;1;2;1;3;3
197;v2_0_doctor_00057;2_0;768x768;3.10403E+13;doctor;1;2;2;1;2;1;3;3;3;3
198;v2_0_doctor_00058;2_0;768x768;3.10403E+13;doctor;1;1;2;2;2;1;2;1;1;2
199;v2_0_doctor_00059;2_0;768x768;3.10403E+13;doctor;3;1;2;2;1;2;2;1;1;2
200;v2_0_doctor_00060;2_0;768x768;3.10403E+13;doctor;2;2;2;1;2;1;2;1;1;2
201;v2_0_doctor_00061;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
202;v2_0_doctor_00062;2_0;768x768;3.10403E+13;doctor;1;2;1;2;3;3;2;1;1;2
203;v2_0_doctor_00063;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;3;3;1;2
205;v2_0_doctor_00065;2_0;768x768;3.10403E+13;doctor;2;1;2;2;2;1;3;3;2;1
206;v2_0_doctor_00066;2_0;768x768;3.10403E+13;doctor;1;2;2;2;3;3;2;1;3;3
207;v2_0_doctor_00067;2_0;768x768;3.10403E+13;doctor;1;1;1;2;1;2;3;3;2;1
210;v2_0_doctor_00070;2_0;768x768;3.10403E+13;doctor;1;1;2;2;1;2;2;1;2;1
213;v2_0_teacher_00003;2_0;768x768;3.10403E+13;teacher;2;1;1;1;3;3;3;3;2;1
214;v2_0_teacher_00004;2_0;768x768;3.10403E+13;teacher;1;1;2;2;2;1;1;2;3;3
215;v2_0_teacher_00005;2_0;768x768;3.10403E+13;teacher;2;2;1;2;1;2;1;2;3;3
216;v2_0_teacher_00006;2_0;768x768;3.10403E+13;teacher;2;2;1;2;2;1;3;3;3;3
217;v2_0_teacher_00007;2_0;768x768;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3
218;v2_0_teacher_00008;2_0;768x768;3.10403E+13;teacher;2;2;1;2;2;1;1;2;3;3
221;v2_0_teacher_00011;2_0;768x768;3.10403E+13;teacher;2;2;2;1;3;3;1;2;3;3
222;v2_0_teacher_00012;2_0;768x768;3.10403E+13;teacher;2;1;1;2;1;2;1;2;3;3
223;v2_0_teacher_00013;2_0;768x768;3.10403E+13;teacher;1;1;2;1;1;2;2;1;3;3
225;v2_0_teacher_00015;2_0;768x768;3.10403E+13;teacher;2;1;1;2;2;1;1;2;2;1
226;v2_0_teacher_00016;2_0;768x768;3.10403E+13;teacher;1;2;2;2;1;2;3;3;3;3
227;v2_0_teacher_00017;2_0;768x768;3.10403E+13;teacher;1;1;2;2;3;3;2;1;3;3
228;v2_0_teacher_00018;2_0;768x768;3.10403E+13;teacher;2;3;2;1;1;2;1;2;3;3
229;v2_0_teacher_00019;2_0;768x768;3.10403E+13;teacher;1;1;2;2;1;2;3;3;3;3
230;v2_0_teacher_00020;2_0;768x768;3.10403E+13;teacher;1;1;2;2;1;2;3;3;3;3
231;v2_0_teacher_00021;2_0;768x768;3.10403E+13;teacher;1;2;2;2;2;1;2;1;3;3
233;v2_0_teacher_00023;2_0;768x768;3.10403E+13;teacher;2;2;2;1;2;1;2;1;2;1
234;v2_0_teacher_00024;2_0;768x768;3.10403E+13;teacher;2;2;2;1;2;1;3;3;3;3
235;v2_0_teacher_00025;2_0;768x768;3.10403E+13;teacher;2;2;2;2;3;3;2;1;3;3
236;v2_0_teacher_00026;2_0;768x768;3.10403E+13;teacher;1;1;2;2;3;3;3;3;3;3
237;v2_0_teacher_00027;2_0;768x768;3.10403E+13;teacher;1;1;2;1;2;1;2;1;3;3
238;v2_0_teacher_00028;2_0;768x768;3.10403E+13;teacher;1;1;2;1;2;1;1;2;3;3
239;v2_0_teacher_00029;2_0;768x768;3.10403E+13;teacher;2;1;2;2;2;1;2;1;3;3
240;v2_0_teacher_00030;2_0;768x768;3.10403E+13;teacher;2;1;2;2;1;2;1;2;3;3
243;v2_0_teacher_00033;2_0;768x768;3.10403E+13;teacher;1;1;2;1;3;3;1;2;2;1
244;v2_0_teacher_00034;2_0;768x768;3.10403E+13;teacher;2;2;1;2;3;3;2;1;3;3
245;v2_0_teacher_00035;2_0;768x768;3.10403E+13;teacher;2;2;1;2;1;2;2;1;3;3
246;v2_0_teacher_00036;2_0;768x768;3.10403E+13;teacher;1;1;2;2;1;2;3;3;3;3
248;v2_0_teacher_00038;2_0;768x768;3.10403E+13;teacher;1;1;2;2;1;2;2;1;3;3
249;v2_0_teacher_00039;2_0;768x768;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3
250;v2_0_teacher_00040;2_0;768x768;3.10403E+13;teacher;2;1;2;1;2;1;3;3;3;3
252;v2_0_teacher_00042;2_0;768x768;3.10403E+13;teacher;1;1;2;1;2;1;3;3;3;3
253;v2_0_teacher_00043;2_0;768x768;3.10403E+13;teacher;1;1;2;1;2;1;1;2;3;3
256;v2_0_teacher_00046;2_0;768x768;3.10403E+13;teacher;1;2;2;2;2;1;2;1;3;3
257;v2_0_teacher_00047;2_0;768x768;3.10403E+13;teacher;1;1;2;2;1;2;3;3;3;3
259;v2_0_teacher_00049;2_0;768x768;3.10403E+13;teacher;1;1;1;2;3;3;3;3;1;2
261;v2_0_teacher_00051;2_0;768x768;3.10403E+13;teacher;2;1;1;2;1;2;3;3;3;3
262;v2_0_teacher_00052;2_0;768x768;3.10403E+13;teacher;2;1;1;2;2;1;2;1;1;2
265;v2_0_teacher_00055;2_0;768x768;3.10403E+13;teacher;1;1;1;2;1;2;3;3;1;2
266;v2_0_teacher_00056;2_0;768x768;3.10403E+13;teacher;2;1;1;1;2;1;2;1;1;2
267;v2_0_teacher_00057;2_0;768x768;3.10403E+13;teacher;1;2;2;1;2;1;3;3;3;3
268;v2_0_teacher_00058;2_0;768x768;3.10403E+13;teacher;1;1;1;2;1;2;2;1;3;3
270;v2_0_teacher_00060;2_0;768x768;3.10403E+13;teacher;1;1;2;1;2;1;2;1;1;2
271;v2_0_teacher_00061;2_0;768x768;3.10403E+13;teacher;2;1;2;2;2;1;2;1;3;3
273;v2_0_teacher_00063;2_0;768x768;3.10403E+13;teacher;2;2;2;2;1;2;1;2;3;3
275;v2_0_teacher_00065;2_0;768x768;3.10403E+13;teacher;2;1;2;2;1;2;1;2;3;3
276;v2_0_teacher_00066;2_0;768x768;3.10403E+13;teacher;2;2;2;1;2;1;2;1;3;3
277;v2_0_teacher_00067;2_0;768x768;3.10403E+13;teacher;1;2;2;2;3;3;3;3;3;3
278;v2_0_teacher_00068;2_0;768x768;3.10403E+13;teacher;2;2;2;1;3;3;3;3;2;1
281;v3_5_doctor_00001;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;2;1
282;v3_5_doctor_00002;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;1;2
283;v3_5_doctor_00003;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
284;v3_5_doctor_00004;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;2;1;2;1
285;v3_5_doctor_00005;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;1;2;3;3
286;v3_5_doctor_00006;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;1;2;3;3;1;2
287;v3_5_doctor_00007;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;2;1;3;3;3;3
288;v3_5_doctor_00008;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;1;2;3;3
289;v3_5_doctor_00009;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;3;3;3;3
290;v3_5_doctor_00010;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;1;2;1;2;1;2
291;v3_5_doctor_00011;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;1;2
292;v3_5_doctor_00012;3_5;1024x1024;3.10403E+13;doctor;1;2;1;2;1;2;3;3;2;1
293;v3_5_doctor_00013;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;2;1;2;1;3;3
294;v3_5_doctor_00014;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;1;2;2;1
295;v3_5_doctor_00015;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
296;v3_5_doctor_00016;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
297;v3_5_doctor_00017;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
298;v3_5_doctor_00018;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
